image_id,screening,preprocessing,size,shape
00655d9628,False,True,True,True
0113230c21,False,True,True,False
0144266d21,True,False,False,False
01ac659240,False,True,True,True
027f25010a,False,True,True,True
0289bd97e6,False,True,True,False
032bd4a6b1,True,True,False,False
0384c4e782,True,True,False,False
03a1d18cc6,False,True,True,True
03cd0b2741,True,True,False,False
04dbda93f9,False,True,True,False
065d8e352c,False,True,True,False
06f605c0b1,True,False,False,False
07330c8ea1,False,True,True,False
08549eb98f,False,True,True,False
0a30487a4e,True,False,False,False
0a55e7c93f,False,True,False,True
0ca41ed5b8,True,False,False,False
0e41d62d5d,True,True,False,False
0fa38de2c7,True,False,False,False
10d85f70bd,False,True,True,True
1206963ed7,True,True,False,False
132788669c,True,True,False,False
15a3ba1c51,False,True,False,True
1700be1235,False,True,True,True
1736c60650,False,True,True,True
173c98ef82,False,True,True,False
17f1cecc7a,False,True,True,True
19b0afdf81,True,True,False,False
1a29c5b84f,False,True,True,False
1b3c6536a3,True,True,False,False
1b935635dd,False,True,True,True
1bed563906,True,True,False,False
1bf56ce626,False,True,True,False
1cb46bfdd5,False,True,True,True
1d67fb3321,False,True,True,True
1e011bd992,True,False,False,False
1e0f5d817e,False,True,True,False
1ecd5c901c,False,True,True,False
1ff313314c,True,False,False,False
207bb15702,True,True,False,False
208b16bbb7,True,False,False,False
21308b3614,False,True,True,True
2181ebb330,False,True,True,True
2242820128,True,True,False,False
226dc58f03,True,False,False,False
22c776b059,True,True,False,False
22d5aab090,False,True,True,False
2387be5eaf,True,True,False,False
23d581d8a9,True,False,False,False
245e1a4826,False,True,True,False
2556313831,True,True,False,False
257e44104b,False,True,True,False
25af264996,False,True,False,True
26e5f24689,True,True,False,False
2807b90ea9,False,True,True,False
2897b777fe,False,True,True,True
28d7e31165,True,False,False,False
291898b7c6,True,True,False,False
294049f7a8,False,True,True,False
296a52bf09,True,False,False,False
2b9ccd5679,False,True,True,False
2bc87a8698,True,True,False,False
2bf4aa0195,True,False,False,False
2c6c108b4d,False,True,True,False
2cd773d930,False,True,True,False
2d1a6c5ce4,False,True,True,False
2d6f268052,False,False,True,True
2daa27a6df,True,False,False,False
2dadb1ced1,True,True,False,False
2e4a3ab627,True,True,False,False
2e5dab1969,False,True,True,True
2ee0518d7a,True,False,False,False
2fb8fe344c,True,True,False,False
