image_id,particle_id,area_px,bbox_x,bbox_y,bbox_width,bbox_height,centroid_x,centroid_y,predicted_iou,stability_score,shape,shape_confidence
006,1,10533,1058,422,117,114,1116.036,477.87,,,individual particle,0.541146457195282
006,2,20501,1401,636,171,152,1485.813,711.775,,,individual particle,0.531917929649353
006,3,12426,243,683,123,129,303.584,745.912,,,individual particle,0.538127064704895
006,4,7084,295,823,96,96,344.185,869.417,,,individual particle,0.5144086480140686
006,5,10037,1256,899,117,113,1314.301,956.084,,,individual particle,0.552335262298584
006,6,6653,284,976,96,89,331.844,1020.791,,,individual particle,0.5401646494865417
006,7,8226,616,1036,102,116,667.848,1097.628,,,particle aggregate,0.500994861125946
006,8,10565,377,1096,117,114,434.281,1152.905,,,individual particle,0.5068894028663635
006,9,8069,674,1723,93,108,721.803,1775.788,,,individual particle,0.5408788919448853
006,10,17605,773,1730,141,159,843.4,1808.17,,,individual particle,0.5241709351539612
026,1,5757,675,0,104,66,725.203,30.079,,,individual particle,0.5047008991241455
026,2,8285,153,3,95,122,196.105,65.444,,,individual particle,0.5021626949310303
026,3,6430,0,40,76,108,31.556,93.276,,,individual particle,0.5223362445831299
026,4,21184,998,88,168,165,1082.428,167.693,,,individual particle,0.5166593790054321
026,5,32654,183,119,217,199,291.53,219.62,,,individual particle,0.5208818316459656
026,6,12924,0,171,107,150,45.971,246.913,,,individual particle,0.5136279463768005
026,7,8512,1108,241,111,95,1162.924,289.288,,,individual particle,0.5471683144569397
026,8,9475,584,251,111,110,638.891,303.828,,,individual particle,0.5249916315078735
026,9,9915,9,357,116,112,66.727,411.79,,,individual particle,0.5320940613746643
026,10,9746,834,366,115,110,890.654,419.385,,,individual particle,0.5318688750267029
026,11,9569,617,375,108,115,669.577,431.608,,,individual particle,0.5474306344985962
026,12,27670,477,505,188,193,568.499,597.796,,,individual particle,0.5514723658561707
026,13,12443,890,513,129,129,953.791,577.958,,,individual particle,0.5355936288833618
026,14,7550,1209,594,102,94,1260.159,639.698,,,individual particle,0.5271458625793457
026,15,12624,603,654,124,132,665.626,718.637,,,individual particle,0.5372166037559509
026,16,10178,739,656,113,119,794.205,713.772,,,individual particle,0.5234631896018982
026,17,5153,354,689,81,83,393.468,730.242,,,individual particle,0.5436573028564453
026,18,9323,115,721,106,110,168.969,774.54,,,individual particle,0.5183424949645996
026,19,6007,227,745,86,92,270.776,790.487,,,individual particle,0.5330952405929565
026,20,9927,382,893,113,113,438.741,949.176,,,individual particle,0.5267637968063354
026,21,10483,767,944,123,111,829.335,999.789,,,individual particle,0.5250726342201233
026,22,19142,481,1022,155,162,556.146,1102.522,,,individual particle,0.5423751473426819
026,23,9530,80,1083,110,110,135.702,1137.789,,,individual particle,0.5381556749343872
026,24,10521,610,1148,120,117,669.719,1206.412,,,individual particle,0.5349609851837158
026,25,37234,52,1224,222,220,161.702,1331.717,,,individual particle,0.5481652021408081
026,26,11735,803,1234,115,135,861.943,1302.343,,,individual particle,0.5301250219345093
026,27,12315,260,1398,134,117,325.439,1455.921,,,individual particle,0.5287981033325195
026,28,14027,0,1426,111,149,49.638,1499.199,,,individual particle,0.527434229850769
026,29,21136,33,1654,165,167,117.182,1735.78,,,individual particle,0.5363870859146118
026,30,11705,147,1796,123,124,209.376,1857.925,,,individual particle,0.5445303320884705
026,31,2701,0,1994,54,54,25.118,2022.07,,,individual particle,0.5057563781738281
026,32,2984,910,2006,97,42,958.049,2030.617,,,individual particle,0.5172805786132812
066,1,10915,646,637,120,119,705.954,694.668,,,individual particle,0.5368889570236206
066,2,12087,863,795,128,123,926.503,856.16,,,individual particle,0.5383929014205933
066,3,11331,1000,830,110,132,1054.498,896.657,,,individual particle,0.5169296264648438
066,4,14611,1190,901,132,142,1257.011,971.819,,,individual particle,0.5425718426704407
066,5,11943,555,920,134,113,621.784,975.393,,,individual particle,0.5293537378311157
066,6,11305,1321,1048,121,124,1379.82,1108.489,,,individual particle,0.5444909334182739
066,7,16163,1121,1258,149,141,1192.387,1330.648,,,individual particle,0.5198338031768799
066,8,12993,884,1488,119,138,944.781,1556.305,,,individual particle,0.5061533451080322
076,1,5709,0,0,65,106,28.472,45.395,,,individual particle,0.5304053425788879
076,2,9602,300,0,124,95,361.07,44.052,,,particle aggregate,0.5051313638687134
076,3,8621,597,0,111,99,651.741,48.394,,,individual particle,0.5195383429527283
076,4,4892,1978,33,70,83,2015.363,74.778,,,individual particle,0.5157548785209656
076,5,2912,977,109,61,61,1006.075,138.938,,,individual particle,0.5216768383979797
076,6,4240,1859,144,74,71,1895.054,179.506,,,individual particle,0.5235165953636169
076,7,4770,1334,146,84,72,1376.172,181.292,,,individual particle,0.5186746716499329
076,8,8927,1109,195,109,104,1161.359,244.219,,,individual particle,0.5197161436080933
076,9,8537,196,213,105,103,248.145,263.443,,,individual particle,0.5313726663589478
076,10,4030,1730,216,75,72,1769.167,251.593,,,individual particle,0.5121217370033264
076,11,5526,527,250,89,83,570.16,290.677,,,individual particle,0.518950343132019
076,12,11459,784,281,130,115,850.208,337.037,,,individual particle,0.5257021188735962
076,13,7905,295,287,104,98,347.361,334.999,,,individual particle,0.5342251658439636
076,14,7028,606,314,94,96,653.268,362.017,,,individual particle,0.5245380997657776
076,15,5976,752,386,76,103,790.361,437.183,,,individual particle,0.5157692432403564
076,16,12498,1634,464,144,122,1703.729,523.626,,,individual particle,0.5021542310714722
076,17,5567,438,468,87,80,481.075,507.399,,,individual particle,0.5167466998100281
076,18,3315,109,575,67,63,141.704,605.852,,,individual particle,0.5285437703132629
076,19,8354,1149,575,110,98,1203.448,623.164,,,individual particle,0.5349749326705933
076,20,12534,557,595,171,108,634.152,652.842,,,individual particle,0.5083739757537842
076,21,11337,1381,658,145,107,1454.107,710.848,,,individual particle,0.5041578412055969
076,22,11174,444,709,126,114,505.896,765.434,,,individual particle,0.5198166966438293
076,23,8590,162,739,116,94,220.512,785.583,,,individual particle,0.5197743773460388
076,24,13542,852,778,132,133,918.08,842.861,,,individual particle,0.5364721417427063
076,25,3206,1814,898,69,60,1846.865,927.14,,,individual particle,0.5154692530632019
076,26,4587,1448,908,81,70,1487.8,942.189,,,individual particle,0.5190632939338684
076,27,37747,494,967,268,280,625.227,1096.16,,,particle aggregate,0.5089771747589111
076,28,3874,1169,994,70,71,1203.523,1028.69,,,individual particle,0.5267064571380615
076,29,6200,367,1018,96,83,415.583,1060.303,,,individual particle,0.5185725092887878
076,30,11742,1054,1081,155,107,1132.816,1134.635,,,particle aggregate,0.5000971555709839
076,31,5782,304,1125,92,82,347.734,1165.373,,,individual particle,0.5299925208091736
076,32,7217,1528,1126,100,94,1576.29,1172.196,,,individual particle,0.5154274702072144
076,33,7002,110,1127,108,98,163.008,1175.116,,,individual particle,0.5099902153015137
076,34,8837,1959,1185,89,118,2007.968,1240.519,,,individual particle,0.5245996713638306
076,35,3368,235,1186,73,60,272.113,1215.629,,,individual particle,0.5084186792373657
076,36,6805,1836,1274,92,90,1881.548,1317.025,,,individual particle,0.5320494174957275
076,37,9750,218,1278,118,106,277.746,1329.829,,,individual particle,0.517670750617981
076,38,4642,1810,1396,81,72,1848.367,1429.31,,,particle aggregate,0.5024036765098572
076,39,3953,621,1407,74,68,658.269,1441.228,,,individual particle,0.5164275765419006
076,40,10925,64,1411,144,95,132.395,1456.132,,,particle aggregate,0.5048139095306396
076,41,7069,1398,1442,80,111,1437.01,1495.066,,,individual particle,0.5356719493865967
076,42,6044,470,1467,94,84,516.773,1508.315,,,individual particle,0.5171365737915039
076,43,5800,75,1504,90,82,118.451,1545.16,,,individual particle,0.5276109576225281
076,44,5263,1804,1512,83,82,1846.384,1552.059,,,individual particle,0.5328080058097839
076,45,3636,401,1530,68,68,435.545,1564.225,,,individual particle,0.5120684504508972
076,46,366550,0,1549,1247,494,468.99,1865.573,,,particle aggregate,0.520556628704071
076,47,8968,1221,1553,119,96,1277.26,1600.063,,,particle aggregate,0.5088885426521301
076,48,5869,216,1556,90,83,261.201,1597.884,,,individual particle,0.5319039225578308
076,49,4971,1331,1565,77,83,1369.927,1607.417,,,individual particle,0.5174964666366577
076,50,5794,1582,1635,89,82,1625.87,1674.978,,,individual particle,0.5230948328971863
076,51,9332,1207,1727,141,85,1276.15,1769.061,,,particle aggregate,0.5026346445083618
076,52,10468,1963,1744,85,148,2007.116,1818.127,,,individual particle,0.5107043981552124
076,53,7447,1877,1828,97,98,1922.994,1874.731,,,individual particle,0.5221855044364929
