image_id,centroid_x,centroid_y,voronoi_area_px2
006,344.0,869.0,47959.385598032844
006,1314.0,956.0,159902.7802765073
006,667.0,1097.0,281924.8150985895
006,434.0,1152.0,58674.37275263021
026,291.0,219.0,121576.53869440994
026,46.0,246.0,20364.19319072899
026,638.0,303.0,67715.99501501073
026,66.0,411.0,54950.18118185736
026,890.0,419.0,58835.1518362396
026,669.0,431.0,34877.65303094001
026,568.0,597.0,84001.50243459611
026,953.0,577.0,76566.13561973641
026,665.0,718.0,43650.88520043434
026,794.0,713.0,51932.50299913558
026,393.0,730.0,41823.57168536903
026,168.0,774.0,76451.05919984655
026,270.0,790.0,30099.097906263974
026,438.0,949.0,61962.92323022069
026,829.0,999.0,129623.46036835483
026,556.0,1102.0,77900.5116772833
026,135.0,1137.0,64114.02277064999
026,669.0,1206.0,65807.92197249846
026,161.0,1331.0,81895.03284126526
026,861.0,1302.0,215185.3560906901
026,325.0,1455.0,145616.42712446256
026,49.0,1499.0,25516.09523495004
026,117.0,1735.0,60707.28040275937
026,209.0,1857.0,141470.48940999922
066,926.0,856.0,56717.85677538174
066,1054.0,896.0,46699.234018324976
076,1006.0,138.0,43355.05015432853
076,1895.0,179.0,50596.42266361561
076,1376.0,181.0,97879.95493499872
076,1161.0,244.0,85659.01973810152
076,248.0,263.0,70304.71063049753
076,1769.0,251.0,78519.61521652625
076,570.0,290.0,40641.02693861233
076,850.0,337.0,72640.34199540547
076,347.0,335.0,48882.61695457687
076,653.0,362.0,32966.83731706972
076,790.0,437.0,47419.42665008261
076,1703.0,523.0,165456.44839842184
076,481.0,507.0,51283.70853005093
076,141.0,605.0,57181.75548230102
076,1203.0,623.0,118341.01738138062
076,634.0,652.0,70065.95133964875
076,1454.0,710.0,101276.3261372643
076,505.0,765.0,67023.57831431218
076,220.0,785.0,82620.09692906291
076,918.0,842.0,118505.3557395951
076,1846.0,927.0,120778.55194999842
076,1487.0,942.0,73149.51834198358
076,625.0,1096.0,168644.05982484913
076,1203.0,1028.0,61079.15609656294
076,415.0,1060.0,41398.6447388196
076,1132.0,1134.0,146555.2426074675
076,347.0,1165.0,28603.665749340387
076,1576.0,1172.0,106457.93223813186
076,163.0,1175.0,45510.46945899281
076,272.0,1215.0,10197.346247833058
076,1881.0,1317.0,47440.72197513952
076,277.0,1329.0,48243.11541538581
076,1848.0,1429.0,42466.44149787023
076,658.0,1441.0,96787.17612899684
076,132.0,1456.0,21864.68589130764
076,1436.0,1495.0,83150.3362995566
076,516.0,1508.0,39831.5522887194
076,1846.0,1552.0,56108.26273917761
076,435.0,1564.0,21151.6923353544
076,1277.0,1600.0,95085.27087926416
076,261.0,1597.0,21220.4153000557
076,1369.0,1607.0,23785.3384190708
076,1625.0,1674.0,88636.93251589903
076,1276.0,1769.0,69327.08608630062
