Image,Method Key,Method,Reference Available,FP Masks / Image,Precision,Recall,F1 Score,TP,FP,FN
00655d9628,1_bm3d,BM3D only,True,0,1.0,1.0,1.0,4,0,0
00655d9628,2_bm3d_noise2sr,BM3D + Noise2SR,True,0,1.0,1.0,1.0,4,0,0
00655d9628,3_bm3d_noise2sr_clahe,BM3D + Noise2SR + CLAHE,True,0,1.0,1.0,1.0,4,0,0
00655d9628,4_bm3d_clahe,BM3D + CLAHE,True,1,0.75,0.75,0.75,3,1,1
0113230c21,1_bm3d,BM3D only,True,0,0.0,0.0,0.0,0,0,7
0113230c21,2_bm3d_noise2sr,BM3D + Noise2SR,True,0,0.0,0.0,0.0,0,0,7
0113230c21,3_bm3d_noise2sr_clahe,BM3D + Noise2SR + CLAHE,True,0,0.0,0.0,0.0,0,0,7
0113230c21,4_bm3d_clahe,BM3D + CLAHE,True,0,0.0,0.0,0.0,0,0,7
01ac659240,1_bm3d,BM3D only,True,2,0.75,1.0,0.8571428571428571,6,2,0
01ac659240,2_bm3d_noise2sr,BM3D + Noise2SR,True,2,0.75,1.0,0.8571428571428571,6,2,0
01ac659240,3_bm3d_noise2sr_clahe,BM3D + Noise2SR + CLAHE,True,0,1.0,1.0,1.0,6,0,0
01ac659240,4_bm3d_clahe,BM3D + CLAHE,True,0,1.0,1.0,1.0,6,0,0
027f25010a,1_bm3d,BM3D only,True,0,1.0,1.0,1.0,4,0,0
027f25010a,2_bm3d_noise2sr,BM3D + Noise2SR,True,0,1.0,1.0,1.0,4,0,0
027f25010a,3_bm3d_noise2sr_clahe,BM3D + Noise2SR + CLAHE,True,0,1.0,0.75,0.8571428571428571,3,0,1
027f25010a,4_bm3d_clahe,BM3D + CLAHE,True,0,1.0,1.0,1.0,4,0,0
0289bd97e6,1_bm3d,BM3D only,True,0,1.0,0.611764705882353,0.759124087591241,52,0,33
0289bd97e6,2_bm3d_noise2sr,BM3D + Noise2SR,True,1,0.9833333333333332,0.6941176470588235,0.8137931034482759,59,1,26
0289bd97e6,3_bm3d_noise2sr_clahe,BM3D + Noise2SR + CLAHE,True,0,0.0,0.0,0.0,0,0,85
0289bd97e6,4_bm3d_clahe,BM3D + CLAHE,True,0,0.0,0.0,0.0,0,0,85
032bd4a6b1,1_bm3d,BM3D only,True,1,0.8571428571428571,1.0,0.923076923076923,6,1,0
032bd4a6b1,2_bm3d_noise2sr,BM3D + Noise2SR,True,0,1.0,1.0,1.0,6,0,0
032bd4a6b1,3_bm3d_noise2sr_clahe,BM3D + Noise2SR + CLAHE,True,1,0.8571428571428571,1.0,0.923076923076923,6,1,0
032bd4a6b1,4_bm3d_clahe,BM3D + CLAHE,True,1,0.8571428571428571,1.0,0.923076923076923,6,1,0
0384c4e782,1_bm3d,BM3D only,True,3,0.625,1.0,0.7692307692307693,5,3,0
0384c4e782,2_bm3d_noise2sr,BM3D + Noise2SR,True,3,0.625,1.0,0.7692307692307693,5,3,0
0384c4e782,3_bm3d_noise2sr_clahe,BM3D + Noise2SR + CLAHE,True,0,1.0,1.0,1.0,5,0,0
0384c4e782,4_bm3d_clahe,BM3D + CLAHE,True,0,1.0,1.0,1.0,5,0,0
03a1d18cc6,1_bm3d,BM3D only,True,1,0.5,1.0,0.6666666666666666,1,1,0
03a1d18cc6,2_bm3d_noise2sr,BM3D + Noise2SR,True,1,0.5,1.0,0.6666666666666666,1,1,0
03a1d18cc6,3_bm3d_noise2sr_clahe,BM3D + Noise2SR + CLAHE,True,0,1.0,1.0,1.0,1,0,0
03a1d18cc6,4_bm3d_clahe,BM3D + CLAHE,True,0,1.0,1.0,1.0,1,0,0
03cd0b2741,1_bm3d,BM3D only,True,0,1.0,1.0,1.0,4,0,0
03cd0b2741,2_bm3d_noise2sr,BM3D + Noise2SR,True,0,1.0,1.0,1.0,4,0,0
